,country,date,gdppc
220,Slovak Republic,2019,19266.0141007811
221,Slovenia,2019,25940.728030936
222,Solomon Islands,2019,2373.6324704257604
223,Somalia,2019,320.03816902969896
224,South Africa,2019,6001.4011214068005
225,South Sudan,2019,
226,Spain,2019,29564.7448981723
227,Sri Lanka,2019,3853.08369288942
228,St. Kitts and Nevis,2019,19934.974532392902
229,St. Lucia,2019,11611.4154473966
230,St. Martin (French part),2019,
231,St. Vincent and the Grenadines,2019,7457.50950382514
232,Sudan,2019,441.505603374484
233,Suriname,2019,6359.833614427371
234,Sweden,2019,51647.9915583251
235,Switzerland,2019,81989.4435119161
236,Syrian Arab Republic,2019,
237,Tajikistan,2019,870.787589323223
238,Tanzania,2019,1122.12181047515
239,Thailand,2019,7806.74221105532
240,Timor-Leste,2019,1560.5098216018805
241,Togo,2019,679.290249091295
242,Tonga,2019,4903.15290276599
243,Trinidad and Tobago,2019,17397.9817601543
244,Tunisia,2019,3317.4535932122
245,Turkey,2019,9126.561345850141
246,Turkmenistan,2019,
247,Turks and Caicos Islands,2019,31353.3293184258
248,Tuvalu,2019,4059.0299956944395
249,Uganda,2019,794.3410779171021
250,Ukraine,2019,3659.0313122948714
251,United Arab Emirates,2019,43103.3230583165
252,United Kingdom,2019,42328.9002575769
253,United States,2019,65297.517508274
254,Uruguay,2019,16190.126957465
255,Uzbekistan,2019,1724.85654379271
256,Vanuatu,2019,3115.3586204326093
257,"Venezuela, RB",2019,
258,Vietnam,2019,2715.27603640721
259,Virgin Islands (U.S.),2019,
260,West Bank and Gaza,2019,
261,"Yemen, Rep.",2019,774.3344898167212
262,Zambia,2019,1305.0632535054401
263,Zimbabwe,2019,1463.9859101805405
