,country,date,gdppc
13055,Senegal,2019,1446.8309649940802
13116,Serbia,2019,7411.55864879005
13177,Seychelles,2019,17448.2702926831
13238,Sierra Leone,2019,527.5336343991111
13299,Singapore,2019,65233.28243923019
13360,Sint Maarten (Dutch part),2019,
13421,Slovak Republic,2019,19266.0141007811
13482,Slovenia,2019,25940.728030936
13543,Solomon Islands,2019,2373.6324704257604
13604,Somalia,2019,320.03816902969896
13665,South Africa,2019,6001.4011214068005
13726,South Sudan,2019,
13787,Spain,2019,29564.7448981723
13848,Sri Lanka,2019,3853.08369288942
13909,St. Kitts and Nevis,2019,19934.974532392902
13970,St. Lucia,2019,11611.4154473966
14031,St. Martin (French part),2019,
14092,St. Vincent and the Grenadines,2019,7457.50950382514
14153,Sudan,2019,441.505603374484
14214,Suriname,2019,6359.833614427371
14275,Sweden,2019,51647.9915583251
14336,Switzerland,2019,81989.4435119161
14397,Syrian Arab Republic,2019,
14458,Tajikistan,2019,870.787589323223
14519,Tanzania,2019,1122.12181047515
14580,Thailand,2019,7806.74221105532
14641,Timor-Leste,2019,1560.5098216018803
14702,Togo,2019,679.290249091295
14763,Tonga,2019,4903.15290276599
14824,Trinidad and Tobago,2019,17397.9817601543
14885,Tunisia,2019,3317.4535932122
14946,Turkey,2019,9126.561345850141
15007,Turkmenistan,2019,
15068,Turks and Caicos Islands,2019,31353.3293184258
15129,Tuvalu,2019,4059.0299956944395
15190,Uganda,2019,794.3410779171021
15251,Ukraine,2019,3659.0313122948705
15312,United Arab Emirates,2019,43103.3230583165
15373,United Kingdom,2019,42328.9002575769
15434,United States,2019,65297.517508274
15495,Uruguay,2019,16190.126957465
15556,Uzbekistan,2019,1724.85654379271
15617,Vanuatu,2019,3115.3586204326098
15678,"Venezuela, RB",2019,
15739,Vietnam,2019,2715.27603640721
15800,Virgin Islands (U.S.),2019,
15861,West Bank and Gaza,2019,
15922,"Yemen, Rep.",2019,774.3344898167211
15983,Zambia,2019,1305.0632535054401
16044,Zimbabwe,2019,1463.9859101805403
